sampleID	projectID	Race	Continent
SRR12508388	PRJNA659014	Taiwan	Asia
SRR14707576	PRJNA733904	Italy	Europe
SRR14707577	PRJNA733904	Italy	Europe
SRR14707578	PRJNA733904	Italy	Europe
SRR14707579	PRJNA733904	Italy	Europe
SRR14707580	PRJNA733904	Italy	Europe
SRR14707581	PRJNA733904	Italy	Europe
SRR14707582	PRJNA733904	Italy	Europe
SRR14707583	PRJNA733904	Italy	Europe
SRR14707584	PRJNA733904	Italy	Europe
SRR14707585	PRJNA733904	Italy	Europe
SRR14707586	PRJNA733904	Italy	Europe
SRR14707587	PRJNA733904	Italy	Europe
SRR14707588	PRJNA733904	Italy	Europe
SRR14707589	PRJNA733904	Italy	Europe
SRR14707590	PRJNA733904	Italy	Europe
SRR14707591	PRJNA733904	Italy	Europe
SRR14707592	PRJNA733904	Italy	Europe
SRR14707593	PRJNA733904	Italy	Europe
SRR14707594	PRJNA733904	Italy	Europe
SRR14707595	PRJNA733904	Italy	Europe
SRR14707596	PRJNA733904	Italy	Europe
SRR14707597	PRJNA733904	Italy	Europe
SRR14707598	PRJNA733904	Italy	Europe
SRR14707599	PRJNA733904	Italy	Europe
SRR14707600	PRJNA733904	Italy	Europe
SRR14707601	PRJNA733904	Italy	Europe
SRR14707602	PRJNA733904	Italy	Europe
SRR14707603	PRJNA733904	Italy	Europe
SRR14707604	PRJNA733904	Italy	Europe
SRR14707605	PRJNA733904	Italy	Europe
SRR14707606	PRJNA733904	Italy	Europe
SRR14707607	PRJNA733904	Italy	Europe
SRR14707608	PRJNA733904	Italy	Europe
SRR14707609	PRJNA733904	Italy	Europe
SRR14707610	PRJNA733904	Italy	Europe
SRR14707611	PRJNA733904	Italy	Europe
SRR14707612	PRJNA733904	Italy	Europe
SRR14707613	PRJNA733904	Italy	Europe
SRR14707614	PRJNA733904	Italy	Europe
SRR14707615	PRJNA733904	Italy	Europe
SRR12613869	PRJNA662182	New_Zealand	Oceania
SRR12613870	PRJNA662182	New_Zealand	Oceania
SRR12613871	PRJNA662182	New_Zealand	Oceania
SRR12613872	PRJNA662182	New_Zealand	Oceania
SRR12613873	PRJNA662182	New_Zealand	Oceania
SRR12613874	PRJNA662182	New_Zealand	Oceania
SRR12613875	PRJNA662182	New_Zealand	Oceania
SRR12613876	PRJNA662182	New_Zealand	Oceania
SRR12613877	PRJNA662182	New_Zealand	Oceania
SRR12613878	PRJNA662182	New_Zealand	Oceania
SRR12613879	PRJNA662182	New_Zealand	Oceania
SRR12613880	PRJNA662182	New_Zealand	Oceania
SRR12613881	PRJNA662182	New_Zealand	Oceania
SRR12613882	PRJNA662182	New_Zealand	Oceania
SRR12613883	PRJNA662182	New_Zealand	Oceania
SRR12664303	PRJNA663722	New_Zealand	Oceania
SRR12664304	PRJNA663722	New_Zealand	Oceania
SRR12664305	PRJNA663722	New_Zealand	Oceania
SRR12664306	PRJNA663722	New_Zealand	Oceania
SRR12664307	PRJNA663722	New_Zealand	Oceania
SRR12664308	PRJNA663722	New_Zealand	Oceania
SRR12664309	PRJNA663722	New_Zealand	Oceania
SRR12664310	PRJNA663722	New_Zealand	Oceania
SRR12664311	PRJNA663722	New_Zealand	Oceania
SRR12664312	PRJNA663722	New_Zealand	Oceania
SRR12664313	PRJNA663722	New_Zealand	Oceania
SRR12664314	PRJNA663722	New_Zealand	Oceania
SRR12664315	PRJNA663722	New_Zealand	Oceania
SRR12664316	PRJNA663722	New_Zealand	Oceania
SRR12664317	PRJNA663722	New_Zealand	Oceania
SRR12664318	PRJNA663722	New_Zealand	Oceania
SRR12664319	PRJNA663722	New_Zealand	Oceania
SRR12664320	PRJNA663722	New_Zealand	Oceania
SRR12664321	PRJNA663722	New_Zealand	Oceania
SRR12664322	PRJNA663722	New_Zealand	Oceania
SRR12664323	PRJNA663722	New_Zealand	Oceania
SRR12664324	PRJNA663722	New_Zealand	Oceania
SRR12664325	PRJNA663722	New_Zealand	Oceania
SRR12664326	PRJNA663722	New_Zealand	Oceania
SRR12664327	PRJNA663722	New_Zealand	Oceania
SRR12664328	PRJNA663722	New_Zealand	Oceania
