sampleID	projectID	Race	Continent
ERR3471221	PRJEB33905	Korea	Asia
ERR3471222	PRJEB33905	Korea	Asia
ERR3471223	PRJEB33905	Korea	Asia
ERR3471224	PRJEB33905	Korea	Asia
ERR3471225	PRJEB33905	Korea	Asia
ERR3471226	PRJEB33905	Korea	Asia
ERR3471227	PRJEB33905	Korea	Asia
ERR3471228	PRJEB33905	Korea	Asia
ERR3471229	PRJEB33905	Korea	Asia
ERR3471230	PRJEB33905	Korea	Asia
ERR3471231	PRJEB33905	Korea	Asia
ERR3471232	PRJEB33905	Korea	Asia
ERR3471233	PRJEB33905	Korea	Asia
ERR3471234	PRJEB33905	Korea	Asia
ERR3471235	PRJEB33905	Korea	Asia
ERR3471236	PRJEB33905	Korea	Asia
ERR3471237	PRJEB33905	Korea	Asia
ERR3471238	PRJEB33905	Korea	Asia
ERR3471239	PRJEB33905	Korea	Asia
ERR3471240	PRJEB33905	Korea	Asia
ERR3471241	PRJEB33905	Korea	Asia
ERR3471242	PRJEB33905	Korea	Asia
ERR3471243	PRJEB33905	Korea	Asia
ERR3471244	PRJEB33905	Korea	Asia
ERR3471245	PRJEB33905	Korea	Asia
ERR3471246	PRJEB33905	Korea	Asia
ERR3471247	PRJEB33905	Korea	Asia
ERR3471248	PRJEB33905	Korea	Asia
ERR3471249	PRJEB33905	Korea	Asia
ERR3471250	PRJEB33905	Korea	Asia
ERR3471251	PRJEB33905	Korea	Asia
ERR3471252	PRJEB33905	Korea	Asia
ERR3471253	PRJEB33905	Korea	Asia
ERR3471254	PRJEB33905	Korea	Asia
ERR3471255	PRJEB33905	Korea	Asia
ERR3471256	PRJEB33905	Korea	Asia
ERR3471257	PRJEB33905	Korea	Asia
ERR3471258	PRJEB33905	Korea	Asia
ERR3471259	PRJEB33905	Korea	Asia
ERR3471260	PRJEB33905	Korea	Asia
ERR3471261	PRJEB33905	Korea	Asia
ERR3471262	PRJEB33905	Korea	Asia
ERR3471263	PRJEB33905	Korea	Asia
ERR3471264	PRJEB33905	Korea	Asia
ERR3471265	PRJEB33905	Korea	Asia
ERR3471266	PRJEB33905	Korea	Asia
ERR3471267	PRJEB33905	Korea	Asia
ERR3471268	PRJEB33905	Korea	Asia
ERR3471269	PRJEB33905	Korea	Asia
ERR3471270	PRJEB33905	Korea	Asia
ERR3471271	PRJEB33905	Korea	Asia
ERR3471272	PRJEB33905	Korea	Asia
ERR3471273	PRJEB33905	Korea	Asia
ERR3471274	PRJEB33905	Korea	Asia
ERR3471275	PRJEB33905	Korea	Asia
ERR3471276	PRJEB33905	Korea	Asia
ERR3471277	PRJEB33905	Korea	Asia
ERR3471278	PRJEB33905	Korea	Asia
ERR3471279	PRJEB33905	Korea	Asia
